Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","223","Pistachios","2020","2020","ha","155","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","536","Plums and sloes","2020","2020","ha","5765","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","116","Potatoes","2020","2020","ha","185360","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","211","Pulses nes","2020","2020","ha","21931","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","394","Pumpkins, squash and gourds","2020","2020","ha","27557","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","270","Rapeseed","2020","2020","ha","403184","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","27","Rice, paddy","2020","2020","ha","3335105","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","149","Roots and tubers nes","2020","2020","ha","22025","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","280","Safflower seed","2020","2020","ha","0","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","328","Seed cotton","2020","2020","ha","2078899","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","289","Sesame seed","2020","2020","ha","170345","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","83","Sorghum","2020","2020","ha","125571","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","236","Soybeans","2020","2020","ha","106","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","723","Spices nes","2020","2020","ha","18703","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","373","Spinach","2020","2020","ha","6420","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","157","Sugar beet","2020","2020","ha","456","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","156","Sugar cane","2020","2020","ha","1165030","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","267","Sunflower seed","2020","2020","ha","101080","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","122","Sweet potatoes","2020","2020","ha","1792","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","495","Tangerines, mandarins, clementines, satsumas","2020","2020","ha","51290","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","826","Tobacco, unmanufactured","2020","2020","ha","50789","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","388","Tomatoes","2020","2020","ha","57838","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","463","Vegetables, fresh nes","2020","2020","ha","61477","","Official data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","222","Walnuts, with shell","2020","2020","ha","1700","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","567","Watermelons","2020","2020","ha","38245","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","15","Wheat","2020","2020","ha","8804677","","Official data"
